LANGUAGE,English,French,Italian,Spanish,German, Comment


------- Titles -------,,,,,,

STRM_S07n10,Lost in enemy territory,Perdu en territoire ennemi,Disperso in territorio nemico,Perdido en territorio enemigo,Auf gegnerischem Gebiet verloren., AfterMission
STRM_S07n11,Mission completed,Mission accomplie,Missione compiuta,Misión cumplida.,Einsatz abgeschlossen, AfterMission
STRM_S07n12,Mission failed,Echec de la mission,Missione fallita,Misión fallida,Einsatz gescheitert., AfterMission

STRM_S07n13,Start,Démarrer,Iniziare,Inicio,Beginnen, Marker
STRM_S07n14,Destroy fuel station,Détruire la station-service,Distruggere deposito di carburante,Destruya la gasolinera,Treibstoffdepot zerstören, Marker
STRM_S07n15,Destroy convoy,Détruire le convoi,Distruggere autocolonna,Destruya el convoy,Konvoi zerstören, Marker
STRM_S07n16,Get in a car,Monter dans une voiture,Salire su una macchina,Suba al coche,In ein Auto einsteigen, Marker
STRM_S07n17,Disappear,Disparaître,Sparire,Desaparezca,Verschwinden, Marker

STRM_s07n18,FUEL STATION,STATION-SERVICE,STAZIONE DI RIFORNIMENTO CARBURANTE,GASOLINERA,TREIBSTOFFDEPOT, Waypoint
STRM_s07n19,THE CAR,LA VOITURE,L'AUTO,EL COCHE,DAS AUTO, Waypoint
STRM_s07n20,ARUDY,ARUDY,ARUDY,ARUDY,ARUDY, Waypoint

STRM_S07n40,The hills near Dourdan,Les collines près de Dourdan,Le colline vicino a Dourdan,Colinas cerca de Dourdan,Die Hügel nahe Dourdan, PreBriefing
